epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,241.084,0.82893,0.72489,0.86299,0.98023,0.98542,0.9867,0.78211,0.75919,0.49055,0.85532,0.000349331,0.000349331,0.000349331
43,246.552,0.84344,0.70089,0.86695,0.98265,0.98738,0.98699,0.76439,0.82869,0.50242,0.86989,0.00034351,0.00034351,0.00034351
44,251.954,0.86035,0.70281,0.86578,0.97589,0.99075,0.98656,0.79196,0.77131,0.49105,0.85423,0.000337688,0.000337688,0.000337688
45,257.574,0.84703,0.69238,0.87177,0.97755,0.99132,0.9854,0.78839,0.75493,0.50247,0.85425,0.000331867,0.000331867,0.000331867
46,262.958,0.82744,0.66754,0.86762,0.97202,0.98798,0.98504,0.78621,0.76202,0.48255,0.85723,0.000326046,0.000326046,0.000326046
47,268.011,0.82083,0.72316,0.86532,0.968,0.98275,0.98478,0.78446,0.78547,0.50671,0.85731,0.000320225,0.000320225,0.000320225
48,273.425,0.80736,0.66696,0.85543,0.97045,0.98004,0.98484,0.78778,0.76424,0.47565,0.85431,0.000314404,0.000314404,0.000314404
49,278.42,0.81426,0.65965,0.85973,0.96681,0.97432,0.98566,0.77201,0.81293,0.4985,0.86639,0.000308582,0.000308582,0.000308582
50,283.543,0.83617,0.68893,0.86862,0.9651,0.9857,0.98528,0.78292,0.75302,0.4725,0.85448,0.000302761,0.000302761,0.000302761
51,288.559,0.79586,0.65122,0.85631,0.97207,0.98176,0.98437,0.78663,0.75262,0.48659,0.85466,0.00029694,0.00029694,0.00029694
52,293.635,0.81086,0.65374,0.8606,0.98484,0.97816,0.98483,0.78761,0.75359,0.46574,0.85832,0.000291119,0.000291119,0.000291119
53,299.067,0.79802,0.64581,0.85991,0.97782,0.98793,0.98532,0.78841,0.7635,0.47648,0.85848,0.000285298,0.000285298,0.000285298
54,304.614,0.80272,0.64145,0.85709,0.97865,0.99188,0.98487,0.78759,0.75477,0.46571,0.85696,0.000279476,0.000279476,0.000279476
55,309.96,0.78622,0.61763,0.85825,0.98395,0.9914,0.98556,0.78671,0.74923,0.46712,0.85518,0.000273655,0.000273655,0.000273655
56,315.767,0.79873,0.64626,0.85954,0.98352,0.98946,0.98659,0.78738,0.7549,0.45753,0.85448,0.000267834,0.000267834,0.000267834
57,321.698,0.79616,0.64951,0.86597,0.98256,0.9885,0.98714,0.79026,0.74794,0.45611,0.8549,0.000262013,0.000262013,0.000262013
58,327.528,0.79209,0.65801,0.85194,0.98215,0.98797,0.98888,0.78272,0.81143,0.46956,0.8638,0.000256192,0.000256192,0.000256192
59,332.683,0.78631,0.64648,0.8562,0.98179,0.98866,0.9871,0.78759,0.77595,0.45887,0.85843,0.00025037,0.00025037,0.00025037
60,337.819,0.81704,0.64461,0.85962,0.98202,0.99006,0.98761,0.79155,0.75747,0.45699,0.85425,0.000244549,0.000244549,0.000244549
61,342.982,0.80112,0.63107,0.85828,0.98073,0.98719,0.98774,0.79183,0.75384,0.46086,0.85403,0.000238728,0.000238728,0.000238728
62,348.009,0.80465,0.63558,0.85868,0.97956,0.98385,0.98688,0.78714,0.76704,0.46263,0.85674,0.000232907,0.000232907,0.000232907
63,352.862,0.81047,0.64655,0.86574,0.97474,0.98511,0.98603,0.79458,0.74879,0.45282,0.8519,0.000227086,0.000227086,0.000227086
64,358.134,0.80398,0.62179,0.86109,0.97097,0.97938,0.98661,0.7972,0.74661,0.45099,0.8549,0.000221264,0.000221264,0.000221264
65,363.726,0.78046,0.62847,0.86277,0.97752,0.97931,0.98574,0.79427,0.74145,0.45076,0.85308,0.000215443,0.000215443,0.000215443
66,370.262,0.81335,0.62647,0.85321,0.96441,0.98231,0.98331,0.79526,0.73863,0.45334,0.85433,0.000209622,0.000209622,0.000209622
67,376.204,0.78357,0.62688,0.85774,0.9727,0.98046,0.98115,0.79066,0.74666,0.45509,0.85699,0.000203801,0.000203801,0.000203801
68,381.287,0.78766,0.64377,0.85925,0.96923,0.991,0.98325,0.79082,0.745,0.4437,0.85419,0.00019798,0.00019798,0.00019798
69,386.04,0.78122,0.61228,0.86663,0.96839,0.99122,0.98589,0.77892,0.78549,0.45081,0.86443,0.000192158,0.000192158,0.000192158
70,391.695,0.79064,0.6012,0.8623,0.96991,0.98924,0.98458,0.79502,0.72211,0.44536,0.85061,0.000186337,0.000186337,0.000186337
71,398.699,0.78665,0.62811,0.85931,0.97199,0.98477,0.98391,0.79751,0.71908,0.43238,0.84929,0.000180516,0.000180516,0.000180516
72,405.421,0.75849,0.59003,0.84919,0.97731,0.98514,0.98555,0.7932,0.73044,0.44162,0.85246,0.000174695,0.000174695,0.000174695
73,412.977,0.78429,0.6167,0.86015,0.97884,0.98674,0.98509,0.79138,0.73714,0.44429,0.85276,0.000168874,0.000168874,0.000168874
74,419.448,0.77535,0.6029,0.86008,0.97998,0.9836,0.98513,0.79781,0.74342,0.44632,0.85227,0.000163052,0.000163052,0.000163052
75,425.956,0.76631,0.60811,0.85856,0.97747,0.98392,0.98515,0.78394,0.76621,0.44499,0.85634,0.000157231,0.000157231,0.000157231
76,433.994,0.77059,0.60364,0.85545,0.97519,0.98649,0.98624,0.79385,0.7514,0.44107,0.85497,0.00015141,0.00015141,0.00015141
77,441.801,0.7698,0.5831,0.8606,0.97999,0.98801,0.98609,0.79737,0.74475,0.42768,0.85438,0.000145589,0.000145589,0.000145589
78,449.24,0.75976,0.5819,0.85101,0.97989,0.98935,0.98644,0.79041,0.76566,0.43101,0.85941,0.000139768,0.000139768,0.000139768
79,455.487,0.75934,0.59067,0.84262,0.98314,0.98868,0.98642,0.80144,0.73698,0.428,0.852,0.000133946,0.000133946,0.000133946
80,461.161,0.76996,0.58361,0.85572,0.98289,0.9864,0.98612,0.7976,0.73557,0.42205,0.85276,0.000128125,0.000128125,0.000128125
81,466.878,0.74323,0.5964,0.85206,0.98096,0.98884,0.98676,0.8045,0.72492,0.42428,0.85061,0.000122304,0.000122304,0.000122304
